nohup: ignoring input
Epoch~156->train_loss:1.0784, val_loss:1.1061, val_accu:0.2, lr:0.10326257348060608, conflict:31/156=0.1987
Epoch~157->train_loss:1.0781, val_loss:1.1057, val_accu:0.2, lr:0.10329839587211609, conflict:31/157=0.1975
Epoch~158->train_loss:1.0777, val_loss:1.1054, val_accu:0.2, lr:0.10333520174026489, conflict:31/158=0.1962
Epoch~159->train_loss:1.0773, val_loss:1.105, val_accu:0.2, lr:0.10337302088737488, conflict:31/159=0.195
Epoch~160->train_loss:1.0769, val_loss:1.1046, val_accu:0.2, lr:0.10341189056634903, conflict:31/160=0.1938
Epoch~161->train_loss:1.0765, val_loss:1.1042, val_accu:0.2, lr:0.10345187038183212, conflict:31/161=0.1925
Epoch~162->train_loss:1.0761, val_loss:1.1038, val_accu:0.2, lr:0.10349299758672714, conflict:31/162=0.1914
Epoch~163->train_loss:1.0756, val_loss:1.1034, val_accu:0.2, lr:0.10353530943393707, conflict:31/163=0.1902
Epoch~164->train_loss:1.0752, val_loss:1.1029, val_accu:0.2, lr:0.1035788506269455, conflict:32/164=0.1951
Epoch~165->train_loss:1.0747, val_loss:1.1025, val_accu:0.2, lr:0.10362368822097778, conflict:33/165=0.2
Epoch~166->train_loss:1.0743, val_loss:1.102, val_accu:0.2, lr:0.10366985946893692, conflict:34/166=0.2048
Epoch~167->train_loss:1.0738, val_loss:1.1016, val_accu:0.2, lr:0.10371742397546768, conflict:35/167=0.2096
Epoch~168->train_loss:1.0733, val_loss:1.1011, val_accu:0.2, lr:0.10376643389463425, conflict:35/168=0.2083
Epoch~169->train_loss:1.0727, val_loss:1.1006, val_accu:0.2, lr:0.10381695628166199, conflict:35/169=0.2071
Epoch~170->train_loss:1.0722, val_loss:1.1001, val_accu:0.2, lr:0.10386905819177628, conflict:36/170=0.2118
Epoch~171->train_loss:1.0716, val_loss:1.0995, val_accu:0.2, lr:0.10392279922962189, conflict:36/171=0.2105
Epoch~172->train_loss:1.0711, val_loss:1.0989, val_accu:0.2, lr:0.1039782389998436, conflict:36/172=0.2093
Epoch~173->train_loss:1.0705, val_loss:1.0984, val_accu:0.2, lr:0.10403546690940857, conflict:36/173=0.2081
Epoch~174->train_loss:1.0699, val_loss:1.0978, val_accu:0.2, lr:0.10409455746412277, conflict:36/174=0.2069
Epoch~175->train_loss:1.0692, val_loss:1.0972, val_accu:0.2, lr:0.10415560007095337, conflict:36/175=0.2057
Epoch~176->train_loss:1.0686, val_loss:1.0965, val_accu:0.2, lr:0.10421866923570633, conflict:36/176=0.2045
Epoch~177->train_loss:1.0679, val_loss:1.0959, val_accu:0.2, lr:0.10428386181592941, conflict:36/177=0.2034
Epoch~178->train_loss:1.0672, val_loss:1.0952, val_accu:0.2, lr:0.10435128211975098, conflict:36/178=0.2022
Epoch~179->train_loss:1.0665, val_loss:1.0945, val_accu:0.2333, lr:0.10442102700471878, conflict:36/179=0.2011
Epoch~180->train_loss:1.0658, val_loss:1.0938, val_accu:0.2333, lr:0.10449319332838058, conflict:36/180=0.2
Epoch~181->train_loss:1.065, val_loss:1.093, val_accu:0.2333, lr:0.10456790030002594, conflict:36/181=0.1989
Epoch~182->train_loss:1.0642, val_loss:1.0922, val_accu:0.2667, lr:0.10464528203010559, conflict:36/182=0.1978
Epoch~183->train_loss:1.0633, val_loss:1.0914, val_accu:0.3, lr:0.10472545772790909, conflict:36/183=0.1967
Epoch~184->train_loss:1.0625, val_loss:1.0906, val_accu:0.3333, lr:0.10480856895446777, conflict:36/184=0.1957
